"","sub","rr","pu","lambda","omega","offset","model"
"1","1qs0vvu9krr584a","25","high",0.0617283950617287,0.5,-0.00416666644948849,"value_alt"
"2","1qs0vvu9krr584a","25","low",0.668219193949979,0.5,-0.00137174211217683,"value_alt"
"3","1qs0vvu9krr584a","50","high",0.0617283950617287,0.5,0.00333332474262416,"value_alt"
"4","1qs0vvu9krr584a","50","low",0.0617283950617287,0.5,0.00444444233999053,"value_alt"
"5","1qs0vvu9krr584a","75","high",0.576131687242435,0.5,-0.00411522633731742,"value_alt"
"6","1qs0vvu9krr584a","75","low",0.0617283950617287,0.5,0.000277773921869118,"value_alt"
"7","1tq0jt4dd31u8lq","25","high",1.85185185185191,0.5,0.00624904740068799,"value_alt"
"8","1tq0jt4dd31u8lq","25","low",1.72839506172847,0.5,0.00736676319310736,"value_alt"
"9","1tq0jt4dd31u8lq","50","high",1.68724279835391,0.5,-0.00397221891954058,"value_alt"
"10","1tq0jt4dd31u8lq","50","low",1.3783059152096,0.5,0.00235801330235463,"value_alt"
"11","1tq0jt4dd31u8lq","75","high",1.6193528584634,0.5,0.036495114223656,"value_alt"
"12","1tq0jt4dd31u8lq","75","low",1.81013508552281,0.5,-0.00960219478733615,"value_alt"
"13","22260uys7arz8j6","25","high",2.46557141948164,0.166666666666667,0.020555555422195,"value_alt"
"14","22260uys7arz8j6","25","low",1.18343912626675,0.166666666666667,0.0925000019810498,"value_alt"
"15","22260uys7arz8j6","50","high",3.99740772357551,0.166666666666667,-0.078611113542275,"value_alt"
"16","22260uys7arz8j6","50","low",1.54798136743184,0.166666666666667,-0.0119444482968478,"value_alt"
"17","22260uys7arz8j6","75","high",4.71467882278162,0.166666666666667,-0.0672222199722983,"value_alt"
"18","22260uys7arz8j6","75","low",2.80789397882853,0.166666666666667,-0.084722225416426,"value_alt"
"19","2bqu5ktkg43fh3p","25","high",1.56835848193895,0.5,0.0169181527205788,"value_alt"
"20","2bqu5ktkg43fh3p","25","low",0.823045267489639,0.5,-0.0019814052731929,"value_alt"
"21","2bqu5ktkg43fh3p","50","high",5.73341500521117,0.166666666666667,-0.506111048954032,"value_alt"
"22","2bqu5ktkg43fh3p","50","low",0.714653700482369,0.5,-0.00198140524880142,"value_alt"
"23","2bqu5ktkg43fh3p","75","high",1.42567095988591,0.5,-0.0277001586571888,"value_alt"
"24","2bqu5ktkg43fh3p","75","low",4.07407407407341,0.5,-0.470066531063711,"value_alt"
"25","2mzs709cn5dlwj2","25","high",9.99999999999939,0.166666666666667,0.00638888713936114,"value_alt"
"26","2mzs709cn5dlwj2","25","low",9.99999999999935,0.166666666666667,0.00472221853263211,"value_alt"
"27","2mzs709cn5dlwj2","50","high",9.99999999999994,0.5,0.00313055713608668,"value_alt"
"28","2mzs709cn5dlwj2","50","low",9.99999999999978,0.166666666666667,0.000833332089253958,"value_alt"
"29","2mzs709cn5dlwj2","75","high",9.99999999999978,0.5,0.0226125027974875,"value_alt"
"30","2mzs709cn5dlwj2","75","low",9.99999999999978,0.5,0.0162236127859474,"value_alt"
"31","2nzfnkk2uulwmkz","25","high",4.44444444444447,0.5,0.0329147631453564,"value_alt"
"32","2nzfnkk2uulwmkz","25","low",1.07605547935327,0.5,0.151042793638174,"value_alt"
"33","2nzfnkk2uulwmkz","50","high",2.22222222174423,0.5,-0.0531931105194824,"value_alt"
"34","2nzfnkk2uulwmkz","50","low",1.24828532235961,0.5,0.173898889917584,"value_alt"
"35","2nzfnkk2uulwmkz","75","high",2.09724127419419,0.5,-0.0772748056698236,"value_alt"
"36","2nzfnkk2uulwmkz","75","low",2.82118805286005,0.5,-0.272045250554624,"value_alt"
"37","2qu63bjtm9kxnnb","25","high",2.67876396439115,0.5,-0.057048665797332,"value_alt"
"38","2qu63bjtm9kxnnb","25","low",2.22448023393235,0.5,0.0781893004115215,"value_alt"
"39","2qu63bjtm9kxnnb","50","high",3.8988478613641,0.388888888888889,-0.215277767607321,"value_alt"
"40","2qu63bjtm9kxnnb","50","low",2.45058247277746,0.5,0.0205761316873736,"value_alt"
"41","2qu63bjtm9kxnnb","75","high",2.96296296296304,0.5,0.0973936899861521,"value_alt"
"42","2qu63bjtm9kxnnb","75","low",2.83340954121077,0.5,-0.0497157727751016,"value_alt"
"43","2usnf1r3h88bett","25","high",1.32759043365928,0.166666666666667,0.141666666817235,"value_alt"
"44","2usnf1r3h88bett","25","low",1.17451698553956,0.166666666666667,0.015000001652749,"value_alt"
"45","2usnf1r3h88bett","50","high",4.50542884168421,0.166666666666667,0.00555555372459726,"value_alt"
"46","2usnf1r3h88bett","50","low",1.18442526409593,0.166666666666667,0.0630555534024255,"value_alt"
"47","2usnf1r3h88bett","75","high",5.13615766431209,0.166666666666667,-0.0138888920078085,"value_alt"
"48","2usnf1r3h88bett","75","low",4.53318684701779,0.166666666666667,-0.00166666972535867,"value_alt"
"49","34aswcgc3uv5ln0","25","high",1.56104731724708,0.166666666666667,0.0686111191530965,"value_alt"
"50","34aswcgc3uv5ln0","25","low",0.752616084965674,0.166666666666667,0.102499999683806,"value_alt"
"51","34aswcgc3uv5ln0","50","high",1.94073911855842,0.166666666666667,0.0597222225556235,"value_alt"
"52","34aswcgc3uv5ln0","50","low",2.69415824571942,0.166666666666667,0.104722231167879,"value_alt"
"53","34aswcgc3uv5ln0","75","high",4.13589003979257,0.166666666666667,-0.15583333338424,"value_alt"
"54","34aswcgc3uv5ln0","75","low",3.34364627524901,0.166666666666667,-0.155000033224021,"value_alt"
"55","35q8u5ekgfaq26g","25","high",6.66666666666863,0.166666666666667,0.286388876729408,"value_alt"
"56","35q8u5ekgfaq26g","25","low",5.08917180346573,0.166666666666667,0.175000025187964,"value_alt"
"57","35q8u5ekgfaq26g","50","high",9.17356172232113,0.166666666666667,-0.375277781908374,"value_alt"
"58","35q8u5ekgfaq26g","50","low",4.44444444444437,0.5,-0.0807040384302812,"value_alt"
"59","35q8u5ekgfaq26g","75","high",3.20372346130025,0.5,-0.0772748056663267,"value_alt"
"60","35q8u5ekgfaq26g","75","low",5.67181586258336,0.462962962962963,-0.305277791679556,"value_alt"
"61","3jrram86yd3uhgb","25","high",1.97530864197528,0.5,-0.00770546494221358,"value_alt"
"62","3jrram86yd3uhgb","25","low",1.30315500685863,0.5,-0.00132281851284666,"value_alt"
"63","3jrram86yd3uhgb","50","high",3.33333333333321,0.5,-0.0731765144188722,"value_alt"
"64","3jrram86yd3uhgb","50","low",1.1385459533588,0.5,0.0267405036530519,"value_alt"
"65","3jrram86yd3uhgb","75","high",1.34583142813792,0.5,0.0498399634198172,"value_alt"
"66","3jrram86yd3uhgb","75","low",1.30772748056325,0.5,0.0864197530864197,"value_alt"
"67","3t9q259awsqqnjn","25","high",2.705552067485,0.166666666666667,-0.0272222206210971,"value_alt"
"68","3t9q259awsqqnjn","25","low",3.33333333333355,0.166666666666667,-0.0363888857683579,"value_alt"
"69","3t9q259awsqqnjn","50","high",5.74367546191165,0.166666666666667,-0.02027777971581,"value_alt"
"70","3t9q259awsqqnjn","50","low",2.0390024987126,0.166666666666667,-0.0133333319273902,"value_alt"
"71","3t9q259awsqqnjn","75","high",5.23694580592632,0.166666666666667,-0.0533333331291999,"value_alt"
"72","3t9q259awsqqnjn","75","low",4.04563191545608,0.166666666666667,-0.0980555522451989,"value_alt"
"73","4g3g9s2nj7eh7g9","25","high",1.06995884773641,0.5,-0.00116475768053859,"value_alt"
"74","4g3g9s2nj7eh7g9","25","low",2.18106995879463,0.5,-0.0281166362447161,"value_alt"
"75","4g3g9s2nj7eh7g9","50","high",1.49689241139437,0.5,0.0122440684844027,"value_alt"
"76","4g3g9s2nj7eh7g9","50","low",1.05311157186638,0.5,-0.00759927296819529,"value_alt"
"77","4g3g9s2nj7eh7g9","75","high",3.71843073844244,0.166666666666667,-0.555833339069198,"value_alt"
"78","4g3g9s2nj7eh7g9","75","low",0.981175779834353,0.5,-0.0106513359384506,"value_alt"
"79","4ns4fa2xqw95lgx","25","high",6.66666666666863,0.166666666666667,0.0122222214515637,"value_alt"
"80","4ns4fa2xqw95lgx","25","low",4.74160123300379,0.166666666666667,0.0219444459996023,"value_alt"
"81","4ns4fa2xqw95lgx","50","high",5.02694302520484,0.166666666666667,0.0416666656987261,"value_alt"
"82","4ns4fa2xqw95lgx","50","low",6.66666666666674,0.166666666666667,0.0222222268573218,"value_alt"
"83","4ns4fa2xqw95lgx","75","high",8.06601239151293,0.166666666666667,-0.00833333428693395,"value_alt"
"84","4ns4fa2xqw95lgx","75","low",7.86839826894132,0.166666666666667,-0.0222222268683369,"value_alt"
"85","4tcxev3874jk89a","25","high",2.63480041353628,0.166666666666667,-0.00555555083774151,"value_alt"
"86","4tcxev3874jk89a","25","low",1.12424308307556,0.166666666666667,0.222777778797342,"value_alt"
"87","4tcxev3874jk89a","50","high",2.96296296296362,0.166666666666667,-0.00583333457444812,"value_alt"
