"","sub","rr","pu","rho","model"
"32","2nzfnkk2uulwmkz","50","high",0.410836762688615,"perc"
"33","2nzfnkk2uulwmkz","75","high",0.233272367017223,"perc"
"34","2nzfnkk2uulwmkz","50","low",0.307498856881573,"perc"
"35","2nzfnkk2uulwmkz","75","low",0.131306203322664,"perc"
"36","2nzfnkk2uulwmkz","25","high",0.56721536351166,"perc"
"37","2qu63bjtm9kxnnb","25","low",0.170781893004115,"perc"
"38","2qu63bjtm9kxnnb","50","high",0.547553726566072,"perc"
"39","2qu63bjtm9kxnnb","75","high",0.550754458161866,"perc"
"40","2qu63bjtm9kxnnb","50","low",0.329903978052126,"perc"
"41","2qu63bjtm9kxnnb","75","low",0.301097393689986,"perc"
"42","2qu63bjtm9kxnnb","25","high",0.140146319158665,"perc"
"43","2usnf1r3h88bett","25","low",0.986206370980033,"perc"
"44","2usnf1r3h88bett","50","high",0.9851394607349,"perc"
"45","2usnf1r3h88bett","75","high",0.931184270690444,"perc"
"46","2usnf1r3h88bett","50","low",0.796196567445869,"perc"
"47","2usnf1r3h88bett","75","low",0.986055836869721,"perc"
"48","2usnf1r3h88bett","25","high",0.882258802011888,"perc"
"49","34aswcgc3uv5ln0","25","low",0.989711934156379,"perc"
"50","34aswcgc3uv5ln0","50","high",0.940329218106996,"perc"
"51","34aswcgc3uv5ln0","75","high",0.907864654523304,"perc"
"52","34aswcgc3uv5ln0","50","low",0.798582533150434,"perc"
"53","34aswcgc3uv5ln0","75","low",0.602880658436214,"perc"
"54","34aswcgc3uv5ln0","25","high",0.948559671642285,"perc"
"55","35q8u5ekgfaq26g","25","low",0.997485139460448,"perc"
"56","35q8u5ekgfaq26g","50","high",0.627572016460905,"perc"
"57","35q8u5ekgfaq26g","75","high",0.279352531869197,"perc"
"58","35q8u5ekgfaq26g","50","low",0.581390032007316,"perc"
"59","35q8u5ekgfaq26g","75","low",0.240757675828549,"perc"
"60","35q8u5ekgfaq26g","25","high",0.572245084590764,"perc"
"61","3jrram86yd3uhgb","25","low",0.045496113397348,"perc"
"62","3jrram86yd3uhgb","50","high",0.58641975308642,"perc"
"63","3jrram86yd3uhgb","75","high",0.154320987654321,"perc"
"64","3jrram86yd3uhgb","50","low",0.192272519431833,"perc"
"65","3jrram86yd3uhgb","75","low",0.239368998628258,"perc"
"66","3jrram86yd3uhgb","25","high",0.117283950617284,"perc"
"67","3t9q259awsqqnjn","25","low",0.943072702331962,"perc"
"68","3t9q259awsqqnjn","50","high",0.983158055174516,"perc"
"69","3t9q259awsqqnjn","75","high",0.664609053501483,"perc"
"70","3t9q259awsqqnjn","50","low",0.833028501752782,"perc"
"71","3t9q259awsqqnjn","75","low",0.866255144033315,"perc"
"72","3t9q259awsqqnjn","25","high",0.935807549658604,"perc"
"73","4g3g9s2nj7eh7g9","25","low",0.51920438957476,"perc"
"74","4g3g9s2nj7eh7g9","50","high",0.264974851394604,"perc"
"75","4g3g9s2nj7eh7g9","75","high",0.895061101169587,"perc"
"76","4g3g9s2nj7eh7g9","50","low",0.216049382716049,"perc"
"77","4g3g9s2nj7eh7g9","75","low",0.0884773662551441,"perc"
"78","4g3g9s2nj7eh7g9","25","high",0.120332266422801,"perc"
"79","4ns4fa2xqw95lgx","25","low",0.981481481481481,"perc"
"80","4ns4fa2xqw95lgx","50","high",0.833485749123609,"perc"
"81","4ns4fa2xqw95lgx","75","high",0.945804896498519,"perc"
"82","4ns4fa2xqw95lgx","50","low",0.981481481481481,"perc"
"83","4ns4fa2xqw95lgx","75","low",0.906492912665752,"perc"
"84","4ns4fa2xqw95lgx","25","high",0.918227046840571,"perc"
"85","4tcxev3874jk89a","25","low",0.923817507493776,"perc"
"86","4tcxev3874jk89a","50","high",0.61522633744856,"perc"
"87","4tcxev3874jk89a","75","high",0.867626886145405,"perc"
"88","4tcxev3874jk89a","50","low",0.711248285322359,"perc"
"89","4tcxev3874jk89a","75","low",0.83272367017223,"perc"
"90","4tcxev3874jk89a","25","high",0.847355586038714,"perc"
"91","57znvber9kc1tnj","25","low",0.139689071787837,"perc"
"92","57znvber9kc1tnj","50","high",0.163923182441701,"perc"
"93","57znvber9kc1tnj","75","high",0.270766651425088,"perc"
"94","57znvber9kc1tnj","50","low",0.115759792714525,"perc"
"95","57znvber9kc1tnj","75","low",0.104938271636805,"perc"
"96","57znvber9kc1tnj","25","high",0.098079561042524,"perc"
"97","5cp1qjka53bl73q","25","low",0.10082304526749,"perc"
"98","5cp1qjka53bl73q","50","high",0.0985368084133516,"perc"
"99","5cp1qjka53bl73q","75","high",0.161332113975145,"perc"
"100","5cp1qjka53bl73q","50","low",0.203703703703704,"perc"
"101","5cp1qjka53bl73q","75","low",0.0543362267477729,"perc"
"102","5cp1qjka53bl73q","25","high",0.119875019051974,"perc"
"103","5jwar0bvwr53h40","25","low",0.312071330589849,"perc"
"104","5jwar0bvwr53h40","50","high",0.190748361530255,"perc"
"105","5jwar0bvwr53h40","75","high",0.501371742112483,"perc"
"106","5jwar0bvwr53h40","50","low",0.902817998611323,"perc"
"107","5jwar0bvwr53h40","75","low",0.999314128954381,"perc"
"108","5jwar0bvwr53h40","25","high",0.927983539477046,"perc"
"109","5o4n9abwu4u5bb5","25","low",0.268175582990398,"perc"
"110","5o4n9abwu4u5bb5","50","high",0.10082304526749,"perc"
"111","5o4n9abwu4u5bb5","75","high",0.176099510575831,"perc"
"112","5o4n9abwu4u5bb5","50","low",0.580932784636489,"perc"
"113","5o4n9abwu4u5bb5","75","low",0.13923182441701,"perc"
"114","5o4n9abwu4u5bb5","25","high",0.203703703703704,"perc"
"115","5pgqs0v0feqyejp","25","low",0.366483767718336,"perc"
"116","5pgqs0v0feqyejp","50","high",0.278235025148605,"perc"
"117","5pgqs0v0feqyejp","75","high",0.247904282883707,"perc"
"118","5pgqs0v0feqyejp","50","low",0.0921362520744923,"perc"
"119","5pgqs0v0feqyejp","75","low",0.250342935528121,"perc"
"120","5pgqs0v0feqyejp","25","high",0.293171772595641,"perc"
"121","6be4c2orpqft8ul","25","low",0.986968449931413,"perc"
"122","6be4c2orpqft8ul","50","high",0.978278868209265,"perc"
"123","6be4c2orpqft8ul","75","high",0.827846364883402,"perc"
"124","6be4c2orpqft8ul","50","low",0.833333124254634,"perc"
"125","6be4c2orpqft8ul","75","low",0.793095564700503,"perc"
"126","6be4c2orpqft8ul","25","high",0.892775491540924,"perc"
"127","6wyn194o3vd7jmv","25","low",0.0637860082304527,"perc"
"128","6wyn194o3vd7jmv","50","high",0.253086210677928,"perc"
"129","6wyn194o3vd7jmv","75","high",0.289666139727576,"perc"
"130","6wyn194o3vd7jmv","50","low",0.130848955951837,"perc"
"131","6wyn194o3vd7jmv","75","low",0.12185642432556,"perc"
"132","6wyn194o3vd7jmv","25","high",0.220621856424326,"perc"
"133","70kcrqfjf2xhh4m","25","low",0.911522633744856,"perc"
"134","70kcrqfjf2xhh4m","50","high",0.860006096631611,"perc"
"135","70kcrqfjf2xhh4m","75","high",0.90877914951989,"perc"
"136","70kcrqfjf2xhh4m","50","low",0.882716049382716,"perc"
"137","70kcrqfjf2xhh4m","75","low",0.849794238683128,"perc"
"138","70kcrqfjf2xhh4m","25","high",0.815500685871056,"perc"
"139","7bwng7h1w9q6djl","25","low",0.927526291723823,"perc"
"140","7bwng7h1w9q6djl","50","high",0.822664228014022,"perc"
"141","7bwng7h1w9q6djl","75","high",0.837448559670782,"perc"
"142","7bwng7h1w9q6djl","50","low",0.967306812985825,"perc"
"143","7bwng7h1w9q6djl","75","low",0.901463191586648,"perc"
"144","7bwng7h1w9q6djl","25","high",0.996570644718793,"perc"
"145","7pjw0pz87exlgmd","25","low",0.796296296200697,"perc"
"146","7pjw0pz87exlgmd","50","high",0.799954275262917,"perc"
"147","7pjw0pz87exlgmd","75","high",0.994284407864655,"perc"
"148","7pjw0pz87exlgmd","50","low",0.812757204227265,"perc"
"149","7pjw0pz87exlgmd","75","low",0.981485244834328,"perc"
"150","7pjw0pz87exlgmd","25","high",0.96369963928263,"perc"
"151","85aq8xl8ayntz3l","25","low",0.973251029666981,"perc"
"152","85aq8xl8ayntz3l","50","high",0.802240512117055,"perc"
"153","85aq8xl8ayntz3l","75","high",0.553497942387225,"perc"
"154","85aq8xl8ayntz3l","50","low",0.944444444444444,"perc"
"155","85aq8xl8ayntz3l","75","low",0.849184575522024,"perc"
"156","85aq8xl8ayntz3l","25","high",0.778463648834019,"perc"
"157","8epzoljwn0gbtge","25","low",0.722222199852041,"perc"
"158","8epzoljwn0gbtge","50","high",0.785017527815882,"perc"
"159","8epzoljwn0gbtge","75","high",0.970507544581618,"perc"
"160","8epzoljwn0gbtge","50","low",0.539780521262003,"perc"
"161","8epzoljwn0gbtge","75","low",0.87037037037037,"perc"
"162","8epzoljwn0gbtge","25","high",0.940329218106996,"perc"
"163","8es63ovt8uw2mgg","25","low",0.26588934613626,"perc"
"164","8es63ovt8uw2mgg","50","high",0.191358024691358,"perc"
"165","8es63ovt8uw2mgg","75","high",0.294238683127572,"perc"
"166","8es63ovt8uw2mgg","50","low",0.221688766956257,"perc"
"167","8es63ovt8uw2mgg","75","low",0.0892394452065234,"perc"
"168","8es63ovt8uw2mgg","25","high",0.240741367966609,"perc"
"169","8le0rzndxgpur8r","25","low",0.893689986282579,"perc"
"170","8le0rzndxgpur8r","50","high",0.956332876085963,"perc"
"171","8le0rzndxgpur8r","75","high",0.742798353909465,"perc"
"172","8le0rzndxgpur8r","50","low",0.199283645785703,"perc"
"173","8le0rzndxgpur8r","75","low",0.134659350708733,"perc"
"174","8le0rzndxgpur8r","25","high",0.228411996816203,"perc"
"175","96deaxjjts0yvax","25","low",0.821292485901539,"perc"
"176","96deaxjjts0yvax","50","high",0.894604481024234,"perc"
"177","96deaxjjts0yvax","75","high",0.901463191586648,"perc"
"178","96deaxjjts0yvax","50","low",0.952673015442918,"perc"
"179","96deaxjjts0yvax","75","low",0.900701112635269,"perc"
"180","96deaxjjts0yvax","25","high",0.826474622770919,"perc"
"181","9h1m4d4lp6ksfjt","25","low",0.988035360463344,"perc"
"182","9h1m4d4lp6ksfjt","50","high",0.748742569730224,"perc"
"183","9h1m4d4lp6ksfjt","75","high",0.858024691358025,"perc"
"184","9h1m4d4lp6ksfjt","50","low",0.55761316872428,"perc"
"185","9h1m4d4lp6ksfjt","75","low",0.911522626001332,"perc"
"186","9h1m4d4lp6ksfjt","25","high",0.848422496570645,"perc"
"187","9ho9tv1b4jdy3p6","25","low",0.947797591830514,"perc"
"188","9ho9tv1b4jdy3p6","50","high",0.952674897119342,"perc"
"189","9ho9tv1b4jdy3p6","75","high",0.992455418381344,"perc"
"190","9ho9tv1b4jdy3p6","50","low",0.722222219641047,"perc"
"191","9ho9tv1b4jdy3p6","75","low",0.91838134430727,"perc"
"192","9ho9tv1b4jdy3p6","25","high",0.92798353909465,"perc"
"193","9jfa3uck1pm1a27","25","low",0.783948944682686,"perc"
"194","9jfa3uck1pm1a27","50","high",0.919600670629477,"perc"
"195","9jfa3uck1pm1a27","75","high",0.948102423411065,"perc"
"196","9jfa3uck1pm1a27","50","low",0.919295839049317,"perc"
"197","9jfa3uck1pm1a27","75","low",0.981481481481481,"perc"
"198","9jfa3uck1pm1a27","25","high",0.919753086419753,"perc"
"199","9oe8onshjdy2khe","25","low",0.0509830818472794,"perc"
"200","9oe8onshjdy2khe","50","high",0.159807956104252,"perc"
"201","9oe8onshjdy2khe","75","high",0.134202103337906,"perc"
